x,y
-0.1656275,-10.823492
-0.240693,-14.141714
-0.4859092,-32.409434
-0.1076836,-9.0656833
-1.6807324,-116.62476
-1.0922115,-78.386309
0.57477923,39.086097
-0.5507134,-41.595868
0.40179025,23.98313
-0.5002455,-33.641917
0.62950771,43.8087763
1.82611925,131.712877
0.30039895,16.1818053
-1.0550704,-72.612886
-1.3722749,-91.941317
-0.185638,-4.380373
1.3532987,97.5186128
-1.0717815,-73.404396
-1.1496786,-81.747405
0.11503391,8.16737152
1.33490092,96.8373745
0.38083459,29.6709396
-0.6055507,-42.007531
0.50137127,34.7770517
-2.032964,-145.41972
-0.1890942,-18.087733
1.82692232,127.391198
-0.6500873,-41.385581
1.00988664,71.01828
-0.5717211,-35.661015
-0.5690822,-43.996809
2.42967391,168.822714
0.44026276,32.6311909
0.08607221,6.44692183
0.39458105,27.5495797
0.37411379,29.690544
-1.5433104,-105.89571
-0.6585629,-47.546591
-0.2827648,-19.639564
-0.8550256,-63.159528
-1.3938318,-95.754503
0.92906972,66.0780686
1.13456934,76.1064255
-1.8990592,-132.1301
0.7843447,59.1559366
0.71371869,48.5052421
-2.2098465,-150.61857
0.88418069,63.1043988
0.25712929,11.1906685
-1.1544747,-77.997404
